date,m1_price,m2_price,m3_price,m6_price,signal,spread_m1m3,spread_m1m6
2026-06-13,3.404400110244751,3.3638999462127686,3.3322999477386475,3.1844000816345215,BACKWARDATION,-2.1179,-6.4622
2026-06-15,3.2669999599456787,3.226599931716919,3.2021000385284424,3.0831000804901123,BACKWARDATION,-1.9865,-5.629
2026-06-16,3.2084999084472656,3.158900022506714,3.1285998821258545,3.013400077819824,BACKWARDATION,-2.4903,-6.0807
2026-06-17,3.1686999797821045,3.119999885559082,3.0927999019622803,2.979300022125244,BACKWARDATION,-2.3953,-5.9772
2026-06-18,3.12280011177063,3.078700065612793,3.0517001152038574,2.9421000480651855,BACKWARDATION,-2.2768,-5.7865
2026-06-19,3.194499969482422,3.1507999897003174,3.11680006980896,2.993799924850464,BACKWARDATION,-2.4323,-6.2827
2026-06-22,3.194499969482422,3.066999912261963,3.11680006980896,2.993799924850464,BACKWARDATION,-2.4323,-6.2827
2026-06-23,3.168100118637085,3.1247000694274902,3.0841000080108643,2.9435999393463135,BACKWARDATION,-2.6514,-7.0863
2026-06-24,3.1559998989105225,3.09879994392395,3.0427000522613525,2.884200096130371,BACKWARDATION,-3.59,-8.6122
2026-06-25,3.2960000038146973,3.2063000202178955,3.1384999752044678,2.9482998847961426,BACKWARDATION,-4.7785,-10.5492
2026-06-26,3.2137999534606934,3.1054999828338623,3.039799928665161,2.8654000759124756,BACKWARDATION,-5.4142,-10.8407
2026-06-29,3.312999963760376,3.1700000762939453,3.1001999378204346,2.914299964904785,BACKWARDATION,-6.4232,-12.0344
2026-06-30,3.283099889755249,3.2430999279022217,3.174099922180176,2.9751999378204346,BACKWARDATION,-3.32,-9.3783
2026-07-01,3.316800117492676,3.2160000801086426,3.1554999351501465,2.9546000957489014,BACKWARDATION,-4.8631,-10.9202
2026-07-02,3.316800117492676,3.185699939727783,3.128700017929077,2.9474000930786133,BACKWARDATION,-5.6711,-11.1372
2026-07-03,3.316800117492676,3.2565999031066895,3.193000078201294,2.9899001121520996,BACKWARDATION,-3.7325,-9.8559
2026-07-06,3.300600051879883,3.2469000816345215,3.1868999004364014,2.9435999393463135,BACKWARDATION,-3.4448,-10.8162
2026-07-07,3.3761000633239746,3.3197999000549316,3.2581000328063965,3.045799970626831,BACKWARDATION,-3.4952,-9.7835
2026-07-08,3.709700107574463,3.6273000240325928,3.522700071334839,3.2314000129699707,BACKWARDATION,-5.0408,-12.8932
2026-07-09,3.5525999069213867,3.4776999950408936,3.3889000415802,3.1335999965667725,BACKWARDATION,-4.6079,-11.7942
2026-07-10,3.543100118637085,3.4612998962402344,3.3768999576568604,3.1254000663757324,BACKWARDATION,-4.6908,-11.7891
2026-07-13,3.8159000873565674,3.7098000049591064,3.6005001068115234,3.2971999645233154,BACKWARDATION,-5.6448,-13.5931
2026-07-14,4.028200149536133,3.89739990234375,3.7534000873565674,3.365999937057495,BACKWARDATION,-6.8219,-16.4391
2026-07-15,3.98799991607666,3.8759000301361084,3.7493999004364014,3.3850998878479004,BACKWARDATION,-5.9829,-15.1179
2026-07-16,4.059700012207031,3.9312000274658203,3.7894999980926514,3.392699956893921,BACKWARDATION,-6.6557,-16.4298
2026-07-17,4.059100151062012,3.9340999126434326,3.7988998889923096,3.4217000007629395,BACKWARDATION,-6.4103,-15.703
2026-07-20,4.110599994659424,3.9881999492645264,3.8447999954223633,3.4368999004364014,BACKWARDATION,-6.4662,-16.3893
2026-07-21,4.137599945068359,4.040500164031982,3.898900032043457,3.4686999320983887,BACKWARDATION,-5.769,-16.1664
2026-07-22,4.136499881744385,4.054200172424316,3.9251999855041504,3.502700090408325,BACKWARDATION,-5.1082,-15.3221
2026-07-23,4.355999946594238,4.2469000816345215,4.096399784088135,3.5994999408721924,BACKWARDATION,-5.9596,-17.3669
2026-07-24,4.22760009765625,4.130000114440918,3.9888999462127686,3.537100076675415,BACKWARDATION,-5.6462,-16.3331
2026-07-27,4.0920000076293945,3.9879000186920166,3.8522000312805176,3.432499885559082,BACKWARDATION,-5.8602,-16.1168
2026-07-28,4.142300128936768,4.007800102233887,3.845099925994873,3.3880999088287354,BACKWARDATION,-7.1748,-18.2073
