date,m1_price,m2_price,m3_price,m6_price,signal,spread_m1m3,spread_m1m6
2026-06-13,249.875,241.1750030517578,233.8000030517578,233.1750030517578,BACKWARDATION,-6.4332,-6.6833
2026-06-15,250.72500610351562,243.375,236.85000610351562,235.875,BACKWARDATION,-5.534,-5.9228
2026-06-16,255.375,249.125,242.0749969482422,240.22500610351562,BACKWARDATION,-5.208,-5.9324
2026-06-17,255.9250030517578,249.0500030517578,241.9250030517578,239.97500610351562,BACKWARDATION,-5.4704,-6.2323
2026-06-18,255.10000610351562,246.75,240.10000610351562,239.0,BACKWARDATION,-5.88,-6.3113
2026-06-19,254.8000030517578,246.625,239.97500610351562,239.0500030517578,BACKWARDATION,-5.8183,-6.1813
2026-06-22,255.89999389648438,247.6750030517578,241.375,241.0,BACKWARDATION,-5.676,-5.8226
2026-06-23,255.14999389648438,246.0500030517578,239.85000610351562,239.5749969482422,BACKWARDATION,-5.9965,-6.1043
2026-06-24,256.17498779296875,246.64999389648438,240.60000610351562,240.97500610351562,BACKWARDATION,-6.0798,-5.9334
2026-06-25,257.57501220703125,247.22500610351562,240.625,240.89999389648438,BACKWARDATION,-6.5806,-6.4738
2026-06-26,257.82501220703125,246.0749969482422,239.3249969482422,239.5749969482422,BACKWARDATION,-7.1754,-7.0785
