date,m1_price,m2_price,m3_price,m6_price,signal,spread_m1m3,spread_m1m6
2026-06-13,249.875,241.1750030517578,233.8000030517578,233.1750030517578,BACKWARDATION,-6.4332,-6.6833
2026-06-15,250.72500610351562,243.375,236.85000610351562,235.875,BACKWARDATION,-5.534,-5.9228
2026-06-16,255.375,249.125,242.0749969482422,240.22500610351562,BACKWARDATION,-5.208,-5.9324
2026-06-17,255.9250030517578,249.0500030517578,241.9250030517578,239.97500610351562,BACKWARDATION,-5.4704,-6.2323
2026-06-18,255.10000610351562,246.75,240.10000610351562,239.0,BACKWARDATION,-5.88,-6.3113
2026-06-19,254.8000030517578,246.625,239.97500610351562,239.0500030517578,BACKWARDATION,-5.8183,-6.1813
2026-06-22,255.89999389648438,247.6750030517578,241.375,241.0,BACKWARDATION,-5.676,-5.8226
2026-06-23,255.14999389648438,246.0500030517578,239.85000610351562,239.5749969482422,BACKWARDATION,-5.9965,-6.1043
2026-06-24,256.17498779296875,246.64999389648438,240.60000610351562,240.97500610351562,BACKWARDATION,-6.0798,-5.9334
2026-06-25,257.57501220703125,247.22500610351562,240.625,240.89999389648438,BACKWARDATION,-6.5806,-6.4738
2026-06-26,257.82501220703125,246.0749969482422,239.3249969482422,239.5749969482422,BACKWARDATION,-7.1754,-7.0785
2026-06-29,257.29998779296875,243.5500030517578,237.3249969482422,238.0,BACKWARDATION,-7.7633,-7.501
2026-06-30,258.20001220703125,242.25,236.60000610351562,237.0,BACKWARDATION,-8.3656,-8.2107
2026-07-01,241.875,236.8249969482422,236.6999969482422,231.5,BACKWARDATION,-2.1395,-4.2894
2026-07-02,239.02499389648438,234.10000610351562,234.0500030517578,229.3000030517578,BACKWARDATION,-2.0814,-4.0686
2026-07-03,239.22500610351562,234.3000030517578,234.22500610351562,229.3000030517578,BACKWARDATION,-2.0901,-4.1488
2026-07-06,239.375,234.9250030517578,234.75,229.75,BACKWARDATION,-1.9321,-4.0209
2026-07-07,238.35000610351562,234.02499389648438,234.0,229.3249969482422,BACKWARDATION,-1.825,-3.7865
2026-07-08,237.77499389648438,233.64999389648438,233.8249969482422,228.85000610351562,BACKWARDATION,-1.6612,-3.7535
2026-07-09,235.3000030517578,231.60000610351562,231.5749969482422,226.4250030517578,BACKWARDATION,-1.5831,-3.7718
2026-07-10,235.0,230.3249969482422,230.0,225.0,BACKWARDATION,-2.1277,-4.2553
2026-07-13,234.9499969482422,230.8249969482422,230.39999389648438,225.1999969482422,BACKWARDATION,-1.9366,-4.1498
2026-07-14,231.5749969482422,227.75,227.375,222.3249969482422,BACKWARDATION,-1.8137,-3.9944
2026-07-15,230.3249969482422,226.25,225.8249969482422,220.125,BACKWARDATION,-1.9538,-4.4285
2026-07-16,226.85000610351562,223.0500030517578,222.9250030517578,217.8249969482422,BACKWARDATION,-1.7302,-3.9784
2026-07-17,224.35000610351562,220.625,220.39999389648438,216.3000030517578,BACKWARDATION,-1.7606,-3.5881
2026-07-20,226.5,223.3000030517578,223.0,219.10000610351562,BACKWARDATION,-1.5453,-3.2671
2026-07-21,226.4499969482422,223.0500030517578,222.77499389648438,219.35000610351562,BACKWARDATION,-1.6229,-3.1353
2026-07-22,223.35000610351562,219.1999969482422,218.6999969482422,215.875,BACKWARDATION,-2.0819,-3.3468
2026-07-23,225.4250030517578,221.47500610351562,220.6999969482422,217.6999969482422,BACKWARDATION,-2.096,-3.4269
2026-07-24,227.0749969482422,222.5749969482422,222.27499389648438,218.625,BACKWARDATION,-2.1138,-3.7212
2026-07-27,224.72500610351562,218.3000030517578,216.89999389648438,211.75,BACKWARDATION,-3.482,-5.7737
2026-07-28,227.125,221.77499389648438,220.89999389648438,214.0500030517578,BACKWARDATION,-2.7408,-5.7567
2026-07-29,228.3249969482422,224.125,223.27499389648438,216.25,BACKWARDATION,-2.2118,-5.2885
2026-07-30,231.27499389648438,227.4499969482422,226.6999969482422,218.375,BACKWARDATION,-1.9782,-5.5778
