date,m1_price,m2_price,m3_price,m6_price,signal,spread_m1m3,spread_m1m6
2026-06-13,3.119999885559082,3.1570000648498535,3.125999927520752,3.9730000495910645,CONTANGO,0.1923,27.3397
2026-06-15,3.1540000438690186,3.1760001182556152,3.1389999389648438,3.9679999351501465,BACKWARDATION,-0.4756,25.8085
2026-06-16,3.2639999389648438,3.2829999923706055,3.243000030517578,4.046000003814697,BACKWARDATION,-0.6434,23.9583
2026-06-17,3.183000087738037,3.2149999141693115,3.180999994277954,4.03000020980835,BACKWARDATION,-0.0628,26.6101
2026-06-18,3.2149999141693115,3.257999897003174,3.2200000286102295,4.059999942779541,CONTANGO,0.1555,26.283
2026-06-19,3.197999954223633,3.246999979019165,3.2070000171661377,4.048999786376953,CONTANGO,0.2814,26.6104
2026-06-22,3.236999988555908,3.265000104904175,3.2209999561309814,4.039000034332275,BACKWARDATION,-0.4943,24.776
2026-06-23,3.1600000858306885,3.1989998817443848,3.1570000648498535,3.9809999465942383,BACKWARDATION,-0.0949,25.981
2026-06-24,3.2279999256134033,3.2639999389648438,3.2200000286102295,4.031000137329102,BACKWARDATION,-0.2478,24.8761
2026-06-25,3.2980000972747803,3.263000011444092,3.2179999351501465,4.0229997634887695,BACKWARDATION,-2.4257,21.983
2026-06-26,3.2320001125335693,3.2909998893737793,3.240000009536743,4.043000221252441,CONTANGO,0.2475,25.0928
2026-06-29,3.2309999465942383,3.171999931335449,3.11899995803833,3.937999963760376,BACKWARDATION,-3.4664,21.8818
2026-06-30,3.25600004196167,3.177999973297119,3.194999933242798,4.382999897003174,BACKWARDATION,-1.8735,34.613
2026-07-01,3.2049999237060547,3.128999948501587,3.1500000953674316,4.35099983215332,BACKWARDATION,-1.7161,35.7566
2026-07-02,3.2170000076293945,3.125,3.1419999599456787,4.369999885559082,BACKWARDATION,-2.3314,35.8408
2026-07-03,3.244999885559082,3.1419999599456787,3.1500000953674316,4.368000030517578,BACKWARDATION,-2.9276,34.6071
2026-07-06,3.244999885559082,3.1419999599456787,3.1500000953674316,4.368000030517578,BACKWARDATION,-2.9276,34.6071
2026-07-07,3.2809998989105225,3.186000108718872,3.177999973297119,4.3480000495910645,BACKWARDATION,-3.1393,32.5206
2026-07-08,3.2239999771118164,3.1419999599456787,3.1489999294281006,4.361999988555908,BACKWARDATION,-2.3263,35.2978
2026-07-09,3.009000062942505,2.9579999446868896,2.9830000400543213,4.27400016784668,BACKWARDATION,-0.8641,42.0405
2026-07-10,2.941999912261963,2.8949999809265137,2.9230000972747803,4.228000164031982,BACKWARDATION,-0.6458,43.7118
2026-07-13,2.880000114440918,2.8440001010894775,2.875,4.241000175476074,BACKWARDATION,-0.1736,47.2569
2026-07-14,2.9200000762939453,2.878000020980835,2.9049999713897705,4.236000061035156,BACKWARDATION,-0.5137,45.0685
2026-07-15,2.9230000972747803,2.888000011444092,2.9110000133514404,4.190999984741211,BACKWARDATION,-0.4105,43.3801
2026-07-16,2.888000011444092,2.8510000705718994,2.88100004196167,4.170000076293945,BACKWARDATION,-0.2424,44.3906
2026-07-17,2.9179999828338623,2.878999948501587,2.9070000648498535,4.1579999923706055,BACKWARDATION,-0.377,42.4949
2026-07-20,2.8320000171661377,2.812999963760376,2.8499999046325684,4.124000072479248,CONTANGO,0.6356,45.6215
2026-07-21,2.884999990463257,2.8519999980926514,2.884999990463257,4.1539998054504395,BACKWARDATION,0.0,43.9861
2026-07-22,2.944000005722046,2.9149999618530273,2.944999933242798,4.238999843597412,CONTANGO,0.034,43.9878
2026-07-23,2.9119999408721924,2.9110000133514404,2.944000005722046,4.314000129699707,CONTANGO,1.0989,48.1456
2026-07-24,2.888000011444092,2.9070000648498535,2.937000036239624,4.320000171661377,CONTANGO,1.6967,49.5845
